10/12/2024 09:45:54	SHS	7019	udāna	rises us	rises up	Typo	srhodes@snowcrest.net	Done
11/03/2024 05:03:05	MW	5874.1	anirdaya	Emergency	Please note that the “Emergency” pertains to the very next word listed in the Supplemental Section: “anirdāhuka, mfn. not burning or scorching, MaitrS.” Please note that this Headword “anirdāhuka” is MISSING FROM MW DICTIONARY ONLINE!!! (Super-Duper-kaching!) • Jackpot! • 100,000 points •	Emergency	srhodes@snowcrest.net	Done on 16 Feb 2025. Good catch
11/03/2024 10:05:25	MW	5707.4	anāstha	Placement Error	"The supplemental insertion of this Headword should be placed just before the word ""anāsthā [ID=5714]"" in the Hierarchical listing of words. You may also choose to further ""link"" these two words since ""anāsthā"" is the feminine form, while ""anāstha"" is the adjective."	Placement Error	srhodes@snowcrest.net	Done on 16 Feb 2025
11/03/2024 10:52:04	MW	5684.1	anāśvāsika	Placement Error	"The supplemental insertion of this Headword should be placed (without indentation) just before the word ""anāṣṭra [ID=5704]"" in the Hierarchical listing of words. The reasoning is as follows:  All of the compounds listed here under the Headword ""anāśaka  [ID=5680]"" derive from the verbal root: ""2. aś [ID=19416]"" (with the negative particle ""an"" as the initial prefix). However, the supplemental word under discussion: ""anāśvāsika mfn. [ID=5684.1 sup]"" derives from the prefixed root ""ā-√śvas"" with the negative particle ""an"" as the initial prefix. Therefore, the Etymology is entirely different; thus the relocation is necessary to please Pāṇini, Jim, Andhrabharati and Scott. (kaching!)"	Placement Error	srhodes@snowcrest.net	Done on 16 Feb 2025
11/03/2024 10:58:24	MW	5645.2	anālabdha	Double Supplement	"Words which have two supplementary definitions are somewhat common. I suggest for Jim to ""force"" a single ""circle-S"" Supplemental Insertion Symbol to the right side of this word in the Hierarchy List Display. There is no need for the Double ""S S"" – One supplemental indicator is sufficient for the job."	Double Supplement	srhodes@snowcrest.net	Currently couldn't reproduce the problem. No change done
11/03/2024 10:59:50	MW	5621.1	anārūḍha	Double Supplement	"Words which have two supplementary definitions are somewhat common. I suggest for Jim to ""force"" a single ""circle-S"" Supplemental Insertion Symbol to the right side of this word in the Hierarchy List Display. There is no need for the Double ""S S"" – One supplemental indicator is sufficient for the job."	Double Supplement	srhodes@snowcrest.net	Currently couldn't reproduce the problem. No change done
11/03/2024 11:03:23	MW	5595.01	anāyatana	Supplemental Definition Placement Error	"Relocate the Supplemental Definition: ""groundless"" in the Window display so as to follow the two Main Entry Definitions."	Supplemental Definition Placement Error	srhodes@snowcrest.net	Done on 16 Feb 2025
11/03/2024 11:04:31	MW	5561.1	anāprīta	Double Supplement	"Words which have two supplementary definitions are somewhat common. I suggest for Jim to ""force"" a single ""circle-S"" Supplemental Insertion Symbol to the right side of this word in the Hierarchy List Display. There is no need for the Double ""S S"" – One supplemental indicator is sufficient for the job."	Double Supplement	srhodes@snowcrest.net	Currently couldn't reproduce the problem. No change done
11/03/2024 13:54:58	MW	5491.1	anātman	Supplemental Definition Placement Error	Relocate this Supplemental Definition in the Window display so as to follow the Main Entry Definition	Supplemental Definition Placement Error	srhodes@snowcrest.net	Done on 16 Feb 2025
11/03/2024 15:10:09	MW	5460	anāgāmin	Revision Symbol Missing	"Please add the ""circle-R"" Revision Symbol to the right side of this word in the Hierarchy List Display. Also, I am wondering how this instance ""escaped"" from Jim's automated correction to this issue? If you can enlighten me, then for you it is a (kaching!)"	Revision Symbol Missing	srhodes@snowcrest.net	Pending. See https://github.com/sanskrit-lexicon/csl-websanlexicon/issues/45
11/03/2024 15:19:52	MW	5373.1	anavekṣitam	Placement Error	"Unless there is some reason to the contrary, the supplemental insertion of this Headword should be placed after the word ""anavekṣaṇa [ID=5374]"" in the Hierarchical listing of words. "	Placement Error	srhodes@snowcrest.net	Done on 16 Feb 2025
11/03/2024 15:28:18	MW	5370.2	anavṛtta	Revision NOT Supplement	"Please DELETE this Headword: ""anavṛtta [ID=5370.2 sup]"". It is merely a REVISION Instruction that has already been carried out as per the instructiong: "" (p. 28, col. 3), read an-āvṛtta."" Now, two things remain to be done: 1) Mark the Headword ""anāvṛtta [ID=5664]"" as a REVISION with the ""circle-R"" symbol; 2) Give Scott a round of applause."	Revision NOT Supplement	srhodes@snowcrest.net	Done on 16 Feb 2025
11/03/2024 15:48:12	MW	5271	amalānanda	Placement Error	"This is a unique Revision in that the spelling of the Headword itself has been changed. Now, the spelling correction (which has already been accomplished) requires the corrected Headword to be ""Relocated"" to its proper Etymological location, which in this case is just after the word ""amalātman [ID=13993]"" in the Hierarchical listing of words. (kaching!)"	Placement Error	srhodes@snowcrest.net	Done on 16 Feb 2025
11/03/2024 15:56:42	MW	5238.1	anarman	Supplement or Revision?	"Please RECONSIDER: The Main Entry reads: ""anarman mfn. = an-arvan, q.v., AV. vii, 7, 1."" THEN IN THE SUPPLEMENT (OR REVISION), we read: ""w.r. for an-arvan, AV. vii, 7, 1."" Please NOTICE that the SOURCE cited as well as the DEFINITION given in both cases are IDENTICAL, with one IMPORTANT difference: In the main entry we read: ""= an-arvan"" and in the Revision(?) we read: ""w.r. for an-arvan"". It appears that the SECOND statement OVERRULES (or revises) the FIRST statement. The contest is: 1) ""=""  VERSUS  2) ""w.r."". (kaching!)"	Supplement or Revision?	srhodes@snowcrest.net	Decided that it is a revision. See https://github.com/sanskrit-lexicon/csl-orig/issues/1777#issuecomment-2661315734 
11/03/2024 16:01:53	MW	5238.2	anarman	Two Headwords (looking alike)	"I am uncertain whether the two Headwords ""anarman"" should be further distinguished in the Hierarchy List. The Eytmology (parsing) of course is different, and I see that the ""accent"" as well is different. However, the appearance in the Hierarchy list remains identical. Should the letter ""a"" and the letter ""b"" be added for distinguishing a difference between the two?"	Two Headwords (looking alike)	srhodes@snowcrest.net	Pending. See https://github.com/sanskrit-lexicon/csl-websanlexicon/issues/46 
11/04/2024 05:15:16	MW	5174.11	anabhihitavācya	an-abhihitavācya omission	an-abhihitavācya n. omission	"Typo – Please note that this is a suggested ""print change"". The definition clearly fits with a neuter gender noun. Certainly this is neither an adjective nor a feminine form. Of course when unstated, neuter is the standard; therefore, shall we state the obvious? because for some it may not be obvious! By the way the ""omission"" cited above (in the definition) is the omission of the neuter gender which I propose to clarify."	srhodes@snowcrest.net	Not required to add information over and above lexicographer's wish.
11/04/2024 05:20:32	MW	5164.4	anabhiśastī	Indentation Error	"Since the Headword ""anabhiśasti [ID=5164.1]"" is NOT indented in the Hierarchy List, I am confident in saying, ""No indentation here."""	Indentation Error	srhodes@snowcrest.net	Done on 16 Feb 2025
11/04/2024 05:20:32	MW	5164.4	anabhiśastī	Indentation Error	"Since the Headword ""anabhiśasti [ID=5164.1]"" is NOT indented in the Hierarchy List, I am confident in saying, ""No indentation here."""	Indentation Error	srhodes@snowcrest.net	Done on 16 Feb 2025
11/04/2024 05:36:44	MW	5053.3	ananvāgama	Placement Error	"The supplemental insertion of this Headword should be placed just before the word ""ananvābhakta [ID=5058]"" in the Hierarchical listing of words, according to Alphabetic order. Please note these words are parsed as ""an-anu-ā-(etc.)"" (in other word, the negative particle followed by two upasargas). Also there will no indentation in the Hierarchy List."	Placement Error	srhodes@snowcrest.net	Done on 16 Feb 2025
11/04/2024 05:39:45	MW	5053.2	ananvāgata	Placement Error	"The supplemental insertion of this Headword should be placed before the word ""ananvāgama [ID=5053.3 sup]"" WHICH ITSELF HAS JUST BEEN MOVED to just before the word ""ananvābhakta [ID=5058]"" in the Hierarchical listing of words, according to Alphabetic order. Please note these words are parsed as ""an-anu-ā-(etc.)"" (in other word, the negative particle followed by two upasargas). Also there will no indentation in the Hierarchy List."	Placement Error	srhodes@snowcrest.net	Done on 16 Feb 2025
11/04/2024 05:50:14	MW	4997.1	anantara	Supplemental Insertion – Missing Symbol	"Please add the ""circle-S"" Supplemental Insertion Symbol to the right side of this word in the Hierarchy List Display. ALSO, please relocate the position of this (masculine gender) Supplemental Definition within the Display Window so as to follow the Main Entry Definition given for the Masculine Gender: ""m. a neighbouring rival, a rival neighbour [ID=4993]"". (kaching!)"	Supplemental Insertion – Missing Symbol	srhodes@snowcrest.net	Done on 16 Feb 2025
11/04/2024 05:59:52	MW	4892.3	anadhīyāna	Placement Error	"The supplemental insertion of this Headword should be placed just after the word ""anadhīyat [ID=4892.5 sup]"" in the Hierarchical listing of words, according to Alphabetic order. Also, please note that the word ""anadhīyāna"" correctly follows the word ""anadhīyat"" in the Supplemental Section, and therefore when inserting both words into the Main Entry their relative position to each other cannot be reversed (especially since they are directly related)! (Super-kaching!)"	Placement Error	srhodes@snowcrest.net	Done on 16 Feb 2025
11/04/2024 06:01:25	MW	4892.4	anadhīṣṭa	Placement Error	"The supplemental insertion of this Headword should be placed just before the word ""anadhyakṣa [ID=4893]"" in the Hierarchical listing of words, according to Alphabetical order."	Placement Error	srhodes@snowcrest.net	Done on 16 Feb 2025
11/04/2024 10:01:19	MW	4711.1	adhyeya	Number 2 Missing in Hierarchy List	"Please note that this Headword is specifically ""a-dhyeya 2"", and obviously parsed beginning with the negative particle ""a""; it is also obviously to be distinguished from ""adhyeya 1"" which derives from ""adhi-√i"". Therefore, I recommend that the number ""2"" be displayed in the Hierarchy List."	Number 2 Missing in Hierarchy List	srhodes@snowcrest.net	Done on 16 Feb 2025
11/04/2024 10:19:44	MW	4511.1	adhyeya	Number 1 Missing in Hierarchy List	"Please note that this Headword is specifically ""adhyeya 1"" deriving from ""adhi-√i"", and it is obviously to be distinguished from ""adhyeya 2"" which is parsed beginning with the negative particle ""a"". Therefore, I recommend that the number ""1"" be displayed in the Hierarchy List. ALSO, Please note that this Headword ""adhyeya 1"" belongs to the existing Main Entry ""adhy-eya, mfn. to be read. [ID=4510]"", and therefore the Supplemental Addition ""adhyeya 1"" should NOT be separated from the primary Main Entry in the Hierarchy List. As you will see, currently, the Headword ""adhyetṛ  [ID=4511]"" COMES BETWEEN the Doubly Listed Headword ""adhyeya"". So, I am recommending three things to be done: 1) Be sure that the two Headwords ""adhyeya"" (listed twice) follow each other without interruption by the Headword ""adhyetṛ"";  2) You may even consider to eliminate the Double Listing of the Headword ""adhyeya"" since it is actually one and the SAME word deriving from ""adhi-√i"", simply with the addition of a Supplemental Definition;  3) I also suggest specifically marking this now singular occurence of ""adhyeya"" as ""adhyeya 1"" (with the number 1 in the Hierarchy Display) so as to distinguish it from the Homonym ""adhyeya 2"" which is parsed beginning with the negative particle ""a"". The fact is this: BOTH the Main Entry as well as the Supplement specifically refer to ""adhyeya 1"" as distinguished from ""adhyeya 2"" which is parsed beginning with the negative particle ""a""."	Number 1 Missing in Hierarchy List	srhodes@snowcrest.net	Done on 16 Feb 2025
11/04/2024 10:23:08	MW	4509	adhyetavya	"Letter ""a"" Missing in Hierarchy List"	"I am proposing to add the letter ""a"" to this primary listing of the Headword ""adhyetavya""."	"Letter ""a"" Missing in Hierarchy List"	srhodes@snowcrest.net	Not reproducible. Not changing anything.
11/04/2024 10:24:58	MW	4710	adhyetavya	"Letter ""b"" Missing in Hierarchy List"	"I am proposing to add the letter ""b"" to this secondary listing of the Headword ""adhyetavya"" which is merely a ""pointer"" to the Main Entry definition which is properly placed according to its Etymological derivation."	"Letter ""b"" Missing in Hierarchy List"	srhodes@snowcrest.net	Not reproducible.
11/04/2024 10:27:42	MW	4710	adhyetavya	See adhi.	See adhī.	"Typo - Please note the LONG vowel as per parsing ""adhi-√i"". Also, after all these corrections here, I just heard a ""kaching!"""	srhodes@snowcrest.net	Done on 16 Feb 2025
11/04/2024 10:27:43	MW	4710	adhyetavya	See adhi.	See adhī.	"Typo - Please note the LONG vowel as per parsing ""adhi-√i"". Also, after all these corrections here, I just heard a ""kaching!"""	srhodes@snowcrest.net	Done on 16 Feb 2025
11/04/2024 10:44:17	MW	4663.1	adhyāśaya	Double Supplement	"Words which have two supplementary definitions are somewhat common. I suggest for Jim to ""force"" a single ""circle-S"" Supplemental Insertion Symbol to the right side of this word in the Hierarchy List Display. There is no need for the Double ""S S"" – One supplemental indicator is sufficient for the job. Actually, it is interesting to note that this is a ""Triple Supplementary Listing"" – I wonder why we don't see THREE ""circle-S"" symbols?"	Double Supplement	srhodes@snowcrest.net	Not reproducible.
11/04/2024 10:49:34	MW	4634	adhyācar	-to use	, to use	Typo	srhodes@snowcrest.net	Done on 16 Feb 2025
11/04/2024 10:51:46	MW	4632	adhyākram	to choose, Śāk. [ID=4632]	"Please Keep the above citation on a single line as follows: ""to attack; to choose, Śāk. [ID=4632]"". The ""semicolon"" is sufficient in itself to separate the two meanings."	Typo	srhodes@snowcrest.net	Not required. 
11/04/2024 11:02:08	MW	4615.1	adhyavasāya	See Below	"I mention this as a point of interest: for my own purposes I have split the word ""adhyavasāya"" into ""adhyavasāya 1""  and  ""adhyavasāya 2"". In fact, ""adhyavasāya 2"" is correctly the absolute (indeclinable) meaning ""having decided"" (among other things). Now, even more interesting is this: Does this Supplemental Definition IN FACT belong to the absolute (indeclinable) form that I have just mentioned? I say, ""Yes"". There is no gender given and the definition matches to the accepted format for the absolute form: ""clinging to (earthly things), Divyāv. [ID=4615.1 sup]"". Also I derive this absolute form form the double prefixed root ""adhi-ava-√so"" which in fact has ""grapple with"" as one of the possible definitions. ""grappling with"" and ""clinging to"" are close enough to link all this together as belonging to the absolute (indeclinable) form as I am suggesting. Shall I start my own ""MW Dictionary Sanskrit Daily"" column in the Cologne University Newspaper?"	See Above	srhodes@snowcrest.net	Pending. See https://github.com/sanskrit-lexicon/csl-orig/issues/1778 
11/04/2024 13:17:48	AP90	6115	ātman	pauruṣamātmaśattayā	pauruṣamātmaśaktayā	Typo	srhodes@snowcrest.net	Done on 16 Feb 2025. Please note that I have changed it to pauruṣamātmaśaktyā, and not to pauruṣamātmaśaktayā
11/04/2024 13:18:13	AP90	6115	ātman	— mukha a. self-delighted. ( LB — khaṃ) the highest bliss.	— mukha a. self-delighted. LB — (khaṃ) the highest bliss.	Typo	srhodes@snowcrest.net	No change required. It is a coding error. See https://github.com/sanskrit-lexicon/csl-websanlexicon/issues/47
11/04/2024 13:23:58	AP90	6115	ātman	pauruṣamātmaśattayā	pauruṣamātmaśaktyā	Typo – UPDATED CORRECTION; This follows the printed text, and of course has the feminine instrumental singular case ending.	srhodes@snowcrest.net	Done on 16 Feb 2025
11/04/2024 16:13:09	MW	116675	parā	"Headword ""parā"" Listed Three Times"	"Please note that there are THREE Headwords for ""parā"" in the Hieararchy List: LB ""1. parā [ID=116675]"" appears correctly preceding the Headword ""parācintāmaṇi [ID=116676]"". LB ""2. parā [ID=116743]"" appears correctly preceding the Headword ""parātaram [ID=116744]"". LB ——But, I believe that this (third) Unnumbered ""parā"" in the Hierarchy List should be DELETED: It is located here, between the following two Headwords: ""1. para [ID=116005]"" and the Headword ""parakathā [ID=116049]"""	"Headword ""parā"" Listed Three Times"	srhodes@snowcrest.net	Not required
11/04/2024 17:14:55	MW	116025	parā	See Below	"Please ignore my previous submission. I figured out the THREE Headwords ""parā"", ""parā 1"" and ""parā 2"". HOWEVER, I consider it confusing to only NUMBER two out of the three and leave one ""parā"" unnumbered. I would prefer to have EACH ""parā"" numbered just to make things clear. This is how I handle it for my own purposes: ""parā 1"" is the proper feminine word; ""parā 2"" is the indeclinable; and for the ""f. of para in comp."", I use this format ""parā-"" (without number, but the hyphen tells me it is forming compounds)."	See Above	srhodes@snowcrest.net	Not required
11/05/2024 06:02:46	MW	4426	adhiśri	Unnecessary Line Break	"The following text may form one continuous line: ""to put in the fire; to spread over, AV. [ID=4426]""."	Unnecessary Line Break	srhodes@snowcrest.net	Not required. Discussion carried on to https://github.com/sanskrit-lexicon/csl-orig/issues/1779
11/05/2024 10:01:51	MW	4412.1	adhiveśma	adhi-veśma in the house	adhi-veśma ind. in the house	Typo? – Please note that I am wondering if this word is to be considered an indeclinable? Please comment and correct accordingly...	srhodes@snowcrest.net	As nothing is mentioned by lexicographer, no additional information added. Nothing required.
11/05/2024 10:07:50	MW	4419.1	adhivīra	Placement Error	"The supplemental insertion of this Headword should be placed just before the word ""adhivṛj [ID=4413]"" in the Hierarchical listing of words."	Placement Error	srhodes@snowcrest.net	Done on 16 Feb 2025
11/05/2024 10:08:55	MW	4419.2	adhivṛkṣasūrye	Placement Error	"The supplemental insertion of this Headword should be placed just before the word ""adhivṛj [ID=4413]"" in the Hierarchical listing of words."	Placement Error	srhodes@snowcrest.net	Done on 16 Feb 2025
11/05/2024 10:30:22	MW	4366.1	adhivakṣas	Placement Error	"The supplemental insertion of this Headword should be placed just before the word ""adhivac [ID=4363]"" in the Hierarchical listing of words."	Placement Error	srhodes@snowcrest.net	Done on 16 Feb 2025
11/05/2024 11:02:29	MW	4300.1	adhibala	Double Supplement	"Words which have two supplementary definitions are somewhat common. I suggest for Jim to ""force"" a single ""circle-S"" Supplemental Insertion Symbol to the right side of this word in the Hierarchy List Display. There is no need for the Double ""S S"" – One supplemental indicator is sufficient for the job."	Double Supplement	srhodes@snowcrest.net	Seems it is already implemented. Not able to reproduce.
11/05/2024 11:15:15	MW	4251.2	adhijigāṃsu	Placement Error	"The supplemental insertion of this Headword should be placed just after the word ""adhigamya [ID=4232.1]"" in the Hierarchical listing of words. The ""hetu"" for this correction is given in the very definition itself: ""(fr. Desid. of adhi-√gam)."" In keeping with the spirit of the Great Etymological dictionary of the Sanskrit Language, this correction must be made! (kaching!)"	Placement Error	srhodes@snowcrest.net	Done on 16 Feb 2025
11/05/2024 13:48:02	MW	4251	adhiji	to, win in addition	to win in addition	Typo	srhodes@snowcrest.net	Done on 16 Feb 2025
11/05/2024 13:49:53	MW	4251	adhiji	Supplement NOT Revision!	"This is a Supplemental Offering:  ""(Prec. 1. pl. -jīyāsma), to overcome, Bhaṭṭ."" (kaching!)"	Supplement NOT Revision!	srhodes@snowcrest.net	Done on 16 Feb 2025
11/05/2024 15:25:54	MW	4112.1	adhastānnābhi	Missing Headword	"You might consider adding the following Headword from the Supplemental Section: ""adhastān (in comp. for adhastāt)"". Of course it is placed just prior to ""adhastānnābhi"", and probably with a single indentation to match the Headword ""adhastāt""."	Missing Headword	srhodes@snowcrest.net	Requires concensus. There are multiple such cases. See https://github.com/sanskrit-lexicon/csl-orig/issues/1780 
11/05/2024 15:30:46	MW	4020	adharmāstikāya	Supplement NOT Revision!	Supplement! (kaching!)	Supplement NOT Revision!	srhodes@snowcrest.net	Done on 16 Feb 2025
11/05/2024 16:27:37	MW	29721	īḍ	fut. īḍiṣyate aor.	fut. īḍiṣyate, aor.	Typo	srhodes@snowcrest.net	Done on 17 Feb 2025.
11/05/2024 16:35:33	MW	29722	īḍ	2. īḍ f. praise	2. īḍ, ṭ, f. praise	"Typo AND Revision Reconsideration – Please note TWO Issues: 1) The typo follows the printed text.  AND  2) The Revision simply states: ""2. īḍ (RV.)."" I am uncertain of how this Revision is to be integrated with the existing Main Entry."	srhodes@snowcrest.net	Pending. See https://github.com/sanskrit-lexicon/csl-orig/issues/1781 
11/05/2024 16:38:22	MW	29721	īḍ	Ved. īḻiṣe pf.	Ved. īḻiṣe, pf.	Typo	srhodes@snowcrest.net	Done on 17 Feb 2025.
11/05/2024 16:40:14	MW	29721	īḍ	Ved. īḻiṣe pf. īḍe fut. īḍiṣyate aor. aiḍiṣṭa.	Ved. īḻiṣe, pf. īḍe, fut. īḍiṣyate, aor. aiḍiṣṭa,	Typo	srhodes@snowcrest.net	Done on 17 Feb 2025.
11/05/2024 17:29:06	MW	29827	īś	īśīya pf.	īśīya, pf.	Typo	srhodes@snowcrest.net	Done on 17 Feb 2025.
11/06/2024 06:02:29	MW	3834.1	adyayajña	to-day's	today's	"Typo – Please note that this is a suggested ""print change."" I would be very surprised if the hyphen is indeed correct. You may consider this to be a Global Correction; Also, to the target search: "" to-day "" – of course, the initial and following space surrounding the target ""to-day"" is required to avoid ativyāpti, which I am sure will delight Andhrabharati, by my mention."	srhodes@snowcrest.net	No change required.
11/06/2024 06:05:48	MW	3830.21	adyatas	from to-day,	from today,	Typo – Funny enough, this case would have escaped my suggested Global Correction. So, if you like this idea, you can come up with a way to globally correct even the escapees!	srhodes@snowcrest.net	No change required.
11/06/2024 06:10:03	MW	3823.1	admasad	Good Sanskrit Humor	"See Definition: ""companion at table = a fly!"" . This is a good example for a Sanskrit book full of Humorously descriptive word definitions."	Good Sanskrit Humor	srhodes@snowcrest.net	No change required.
11/06/2024 06:15:18	MW	3809.1	adbhutaraṅga	adbhuta—raṅga N. of a Prahasana	adbhuta—raṅga m. N. of a Prahasana	"Typo – Please note that this is a suggested ""print change"". It is extremely likely to be in the masculine gender. I am making this correction to my own file."	srhodes@snowcrest.net	No change required. Evan adButadarpaRa does not have a gender.
11/06/2024 06:18:16	MW	3801.1	adbhutakṛṣṇarāja	adbhuta—kṛṣṇa-rāja (or Kṛ°?), N. of a chief	adbhuta—kṛṣṇa-rāja (or Kṛ°?), m. N. of a chief	"Typo – Please note that this is a suggested ""print change"". It is extremely likely to be in the masculine gender. I am making this correction to my own file."	srhodes@snowcrest.net	No change required.
11/06/2024 06:23:34	MW	3711.1	aduḥkhasukhavedanā	nonperception	non-perception	Typo – Please note that the hyphen occurs at a line break, however I consider it to be proper to hyphenate this word, nityam! – Also this could be considered a Global Correction if other cases exist.	srhodes@snowcrest.net	Done on 17 Feb 2025. Noted for further exploration at https://github.com/sanskrit-lexicon/csl-orig/issues/1782
11/06/2024 06:27:47	MW	3708.1	adīrghadarśin	far-sighted	farsighted	Typo – Here we go the other way, viloman! Current standards do not require the Hyphen, but I leave this one up to your discernment (which of course is always the case anyway).	srhodes@snowcrest.net	No change required.
11/06/2024 10:52:12	MW	3543.3	atharī	Headword Listed Twice	"DELETE the second indented listing of this Headword, and simply mark the FIRST occurrence (which is identical in all respects) with the ""circle-S"" symbol."	Headword Listed Twice	srhodes@snowcrest.net	No change required. The first is coming as an alternative to the word aTari, whereas the second comes from supplement.
11/06/2024 10:52:13	MW	3543.3	atharī	Headword Listed Twice	"DELETE the second indented listing of this Headword, and simply mark the FIRST occurrence (which is identical in all respects) with the ""circle-S"" symbol."	Headword Listed Twice	srhodes@snowcrest.net	No change required. The first is coming as an alternative to the word aTari, whereas the second comes from supplement.
11/06/2024 11:20:06	MW	3527	atrasnu	Headword Missing!	"Please note this GROUPING: a-trasnu [ŚBr.; Ragh. xiv, 47 ] or a-trāsa mfn. fearless. [ID=3527]. The Headword ""atrāsa"" must be listed in the Hierarchy List! (kaching!)"	Headword Missing!	srhodes@snowcrest.net	Done on 17 Feb 2025.
11/06/2024 11:24:27	MW	3506	atra	(for at tra	(for at-tra	Typo	srhodes@snowcrest.net	Done on 17 Feb 2025.
11/06/2024 11:36:02	MW	3498.1	atyetavai	atyetavai see ati	atyetavai, see atī	"Typo – Please note ""long vowel"", very important! (kaching!)"	srhodes@snowcrest.net	Done on 17 Feb 2025.
11/06/2024 12:01:43	MW	2860	atihasita	Headword Double Listing	"Please DELETE the second occurrence of the Headword “atihasita” which follows the Headword “atihāsa”. Then modify the supplemental definition under the First Headword “atihasita” to read as follows: “atihasita, n. (in rhet.) excessive or foolish laughter, Sāh. [ID=2860 sup]”. Finally, include the ""circle-S"" Supplemental Insertion Symbol to the right side of this word in the Hierarchy List Display. (kaching!)"	Headword Double Listing	srhodes@snowcrest.net	Not required. 
11/06/2024 12:09:14	MW	238257	sarvajaya	President Donald Trump COMPLETE VICTORY	"For the United States of America, Aumsanskrit is Celebrating a most important Victory for our country. Any other outcome would have simply been the proverbial, ""nail in the coffin of (USA)""."	President Donald Trump COMPLETE VICTORY	srhodes@snowcrest.net	No change required. 
11/06/2024 15:00:42	MW	2799.1	ativīryaprabha	Tathā-gata	Tathāgata	"Typo – Please note that this is a suggested ""Global Print Change"". Except for the actual Headword ""Tathāgata"" where of course the ""hyphen"" is useful and should be retained, everywhere else the hyphen could be omitted."	srhodes@snowcrest.net	No change required.
11/06/2024 15:05:40	MW	3140.1	atimukti	Supplemental Insertion – Missing Symbol	"Please add the ""circle-S"" Supplemental Insertion Symbol to the right side of this word in the Hierarchy List Display. Please note that we have caught another escapee (from Jim's automated correction)."	Supplemental Insertion – Missing Symbol	srhodes@snowcrest.net	Pending. See https://github.com/sanskrit-lexicon/csl-orig/issues/1783
11/06/2024 15:05:40	MW	3140.1	atimukti	Supplemental Insertion – Missing Symbol	"Please add the ""circle-S"" Supplemental Insertion Symbol to the right side of this word in the Hierarchy List Display. Please note that we have caught another escapee (from Jim's automated correction)."	Supplemental Insertion – Missing Symbol	srhodes@snowcrest.net	Pending. See https://github.com/sanskrit-lexicon/csl-orig/issues/1783
